SMILES,Class
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,1
C(CCl)Cl,0
C1=CC(=C(C=C1Cl)Cl)Cl,1
C(C=O)Cl,1
C(CCl)O,0
C1=CC(=C(C=C1Cl)O)Cl,0
C1=CC(=CC=C1CC(=O)O)O,0
C(CO)O,0
CC(=O)O,0
CC=O,1
CC(=O)N,1
CC(=O)C,0
N,0
C1=CC=CC=C1,1
CCCC=O,1
CCCC(=O)O,0
C1=CC=C2C(=C1)C=CC(=O)O2,0
CC1=CC=CC=C1O,0
CCCCCCCC(=O)O,0
CC(C)[N+](=O)[O-],0
C1=CC(=CC=C1N)O,0
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,1
CCCCCCCC=O,0
CCC=O,0
CC(=O)C(=O)C,1
CNC,0
CS(=O)C,0
C(CO)N,0
C=O,1
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1
C(C(=O)O)O,0
C1=CC(=CC=C1O)O,1
C1=CN=CN1,0
II,0
CS,1
CC(=O)C=O,1
CO,0
C1=CC(=CN=C1)C(=O)N,1
[N+](=O)(O)[O-],0
CN(C)C1=CC=CC=C1,1
CCCCCCCCO,0
CC(CO)O,0
CCC(=O)O,0
C1=CC(=C(C(=C1)O)O)O,0
O=S=O,1
CC1=CC=CC=C1,0
CC1CCC(C(C1)O)C(C)C,0
CNNC,1
C1=NNC(=N1)N,0
CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1
C1=CC2=C(C(=C1)O)N=CC=C2,0
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,0
CC(=O)NP(=O)(OC)SC,1
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,0
CC(C)(C=NOC(=O)NC)SC,0
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,0
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,0
CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,0
CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C,0
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,0
C1C2CC3CC1CC(C2)(C3)N,0
CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,1
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,0
COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,1
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,0
CCNC1=NC(=NC(=N1)Cl)NC(C)C,1
CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,0
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,0
CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,0
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,1
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,0
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,0
COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,1
C1C(C(C(C(C1NC(=O)C(CCN)O)O)OC2C(C(C(O2)CO)O)O)OC3C(C(C(C(O3)CN)O)O)N)N,0
C[As](=O)(C)O,0
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,0
C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,0
CCCCCCCCCCCCCCCCO,0
CC1OC2(CN3CCC2CC3)CS1,0
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,0
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,1
